org_id_a,org_id_b,org_name_b,relationship,source
GB-SC-SC037673,GB-CHC-226686,The Royal Air Forces Association - Corporate Body,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037691,GB-CHC-215174,The Salvation Army Social Work Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037711,GB-CHC-203644,Cats Protection,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037715,GB-CHC-237005,Wec International,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037717,GB-CHC-216401,The National Society for the Prevention of Cruelty to Children,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037733,GB-CHC-209131,The British Council,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037736,GB-CHC-209603,The Royal National Lifeboat Institution,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037737,GB-CHC-1013887,The Royal College of Anaesthetists,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037738,GB-CHC-220949,The British Red Cross Society,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037750,GB-CHC-1089278,General Medical Council,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037754,GB-CHC-251549,Elim Foursquare Gospel Alliance,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037757,GB-CHC-1063200,Bibles for Children,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037767,GB-CHC-233782,The Baptist Missionary Society,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037769,GB-CHC-281757,Caravanners and Campers Christian Fellowship,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037784,GB-CHC-212424,"Rsa (The Royal Society for the Encouragement of Arts, Manufactures and Commerce)",sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037786,GB-CHC-1062746,The Quality Assurance Agency for Higher Education,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037789,GB-CHC-211015,Stroke Association,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037790,GB-CHC-803016,Meningitis Now,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037794,GB-CHC-1032606,United Kingdom Haemophilia Centre Doctors Organisation,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037808,GB-CHC-313013,The Marine Society and Sea Cadets,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037810,GB-CHC-1114641,Charity Select UK Bond Fund,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037812,GB-CHC-1114643,Charity Select UK Equity Fund,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037835,GB-CHC-284789,The Apostolic Church,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037843,GB-CHC-227523,Dogs Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037861,GB-CHC-1015243,Medical Research Council Technology,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037863,GB-CHC-1044255,Community Bible Study International UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037870,GB-CHC-1001813,The Halo Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037871,GB-CHC-802453,Whitesell Evangelistic Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037889,GB-CHC-296042,The Pious Society of the Daughters of St Paul,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037890,GB-CHC-1030024,Association of University Administrators,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037892,GB-CHC-326654,Adoption UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037901,GB-CHC-1071662,Cacdp,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037903,GB-CHC-1090968,Chartered Institution of Wastes Management,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037931,GB-CHC-288493,Association for Heritage Interpretation,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037939,GB-CHC-1015793,CLC International (Uk),sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037960,GB-CHC-1108687,Crimestoppers Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037963,GB-CHC-231060,The Chartered Institute of Public Finance and Accountancy,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037997,GB-CHC-313007,Buttle UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC037998,GB-CHC-1097271,British Safety Council,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038016,GB-CHC-305969,The Boys' Brigade,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038023,GB-CHC-226745,The General Service Board of Alcoholics Anonymous (Great Britain) Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038025,GB-CHC-1011605,British Society for Paediatric Dermatology,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038056,GB-CHC-210760,"The Soldiers, Sailors, Airmen and Families Association - Forces Help",sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038057,GB-CHC-802133,The Marchig Animal Welfare Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038067,GB-CHC-802440,React,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038092,GB-CHC-1097940,Action for Children,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038093,GB-CHC-1045672,Emerge Poverty Free,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038104,GB-CHC-1017658,Breast Cancer Care,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038105,GB-CHC-1091035,Chartered Management Institute,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038107,GB-CHC-1092236,Concern Worldwide (Uk),sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038109,GB-CHC-1081009,The Royal Air Force Benevolent Fund,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038110,GB-CHC-207544,Royal Commonwealth Society for the Blind,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038191,GB-CHC-226446,Seafarers UK (King George's Fund for Sailors),sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038199,GB-CHC-1059879,Freedom Food Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038212,GB-CHC-1043409,The Chartered Institution of Water and Environmental Management,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038254,GB-CHC-1072490,The Duke of Edinburgh's Award,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038262,GB-CHC-222879,The Royal Horticultural Society,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038263,GB-CHC-233392,The Institution of Structural Engineers,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038264,GB-CHC-262771,The Logos Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038264,GB-CHC-327973,The Logos Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038279,GB-CHC-1085662,The Polycystic Kidney Disease Charity,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038279,GB-CHC-1160970,The Polycystic Kidney Disease Charity,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038299,GB-CHC-1057744,Royal College of Paediatrics and Child Health,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038304,GB-CHC-228494,Economic History Society,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038305,GB-CHC-1023552,Unison Welfare,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038321,GB-CHC-207318,The Douglas Haig Memorial Homes,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038331,GB-CHC-209174,National Art Collections Fund,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038362,GB-CHC-1091434,Nursing and Midwifery Council,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038369,GB-CHC-228636,The Royal College of Psychiatrists,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038384,GB-CHC-206658,World Horse Welfare,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038415,GB-CHC-326730,British Lung Foundation,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038416,GB-CHC-1038483,Sisters of the Cross and Passion,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038422,GB-CHC-282751,The Society of Recorder Players,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038435,GB-CHC-235652,The Banner of Truth Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038436,GB-CHC-306016,The Guide Association,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038437,GB-CHC-306101,The Scout Association,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038454,GB-CHC-1091768,National Centre for Social Research,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038484,GB-CHC-1099148,The Navigators UK Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038492,GB-CHC-261062,The Genetics Society,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038493,GB-CHC-264166,L'arche,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038494,GB-CHC-1095189,Peace Child International,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038497,GB-CHC-1066905,Care for the Family,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038499,GB-CHC-306137,Universities & Colleges Christian Fellowship,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038505,GB-CHC-209259,Variety the Children's Charity,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038516,GB-CHC-210504,The British Horse Society,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038518,GB-CHC-1002222,Community Transport Association UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038528,GB-CHC-211200,Sisters of Charity of St Paul the Apostle,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038541,GB-CHC-1101478,Care of Police Survivors,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038575,GB-CHC-1117373,Aviation Without Borders,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038598,GB-CHC-1024741,The Universities and Colleges Admissions Service,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038615,GB-CHC-1128649,Shri Ram Chandra Mission UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038626,GB-CHC-1104324,CTC Charitable Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038628,GB-CHC-1059293,Rokpa Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038629,GB-CHC-210252,The Institution of Civil Engineers,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038632,GB-CHC-1117148,Crohn's and Colitis UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038647,GB-CHC-270363,British Society for Developmental Biology,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038649,GB-CHC-1040756,Place2be,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038671,GB-CHC-1126281,Human Relief Foundation,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038675,GB-CHC-1152954,Botanical Society of Britain and Ireland,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038693,GB-CHC-206563,Arthritis Care,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038698,GB-CHC-211014,The Institution of Engineering and Technology,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038722,GB-CHC-310952,The Royal Caledonian Education Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038731,GB-CHC-207994,Marie Curie,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038771,GB-CHC-313246,Miners' Welfare National Educational Fund,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038775,GB-CHC-1116824,Newstraid Benevolent Fund,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038776,GB-CHC-1097217,Christians Against Poverty,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038803,GB-CHC-1021586,Brathay Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038805,GB-CHC-1078508,The Association of Graduate Careers Advisory Services,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038811,GB-CHC-1012131,The Electrical Industries Charity Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038820,GB-CHC-260907,The Seabird Group,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038827,GB-CHC-803716,Anthony Nolan,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038828,GB-CHC-206002,Ex-Services Mental Welfare Society,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038849,GB-CHC-249219,The National Federation of Music Societies,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038850,GB-CHC-1057437,Signpost International,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038860,GB-CHC-1041237,The Christian Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038863,GB-CHC-1108335,The British Polio Fellowship,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038864,GB-CHC-1051659,Music in Hospitals,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038865,GB-CHC-1011012,Key Enterprises (1983) Ltd,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038868,GB-CHC-1112023,The Game and Wildlife Conservation Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038884,GB-CHC-1101313,Street League,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038885,GB-CHC-294344,The Woodland Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038887,GB-CHC-1010448,Remar Association (Uk),sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038890,GB-CHC-803270,The Learning Through Landscapes Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038905,GB-CHC-267902,The JFH Charitable Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038910,GB-CHC-1112194,Pets as Therapy,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038911,GB-CHC-1066963,Care (Christian Action Research and Education),sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038918,GB-CHC-298945,Handbell Ringers of Great Britain,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038924,GB-CHC-1015988,Royal Voluntary Service,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038925,GB-CHC-224469,PSS (Uk),sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038926,GB-CHC-207720,The Royal National Institute for Deaf People,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038928,GB-CHC-1107141,JSSC,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038932,GB-CHC-285891,The Venture Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038951,GB-CHC-1059559,Plantlife International-the Wild Plant Conservation Charity,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038971,GB-CHC-1079573,Institute of Fundraising,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038972,GB-CHC-800797,The Disabilities Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038979,GB-CHC-209617,The Guide Dogs for the Blind Association,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC038995,GB-CHC-1084220,DM Thomas Foundation for Young People,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039001,GB-CHC-1071212,Flora Locale,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039008,GB-CHC-284880,Phoenix House,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039009,GB-CHC-233282,Subud Britain,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039019,GB-CHC-283253,Talteg Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039029,GB-CHC-327449,FFFC (The Foresters' Fund for Children),sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039039,GB-CHC-1022991,Lantra,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039042,GB-CHC-202918,Oxfam,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039049,GB-CHC-255465,The Civil Service Retirement Fellowship,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039052,GB-CHC-1018963,The Adolescent and Children's Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039054,GB-CHC-1093950,Royal Fleet Auxiliary Association,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039057,GB-CHC-305962,The Army Cadet Force Association,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039058,GB-CHC-1062636,Breakthrough Breast Cancer,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039062,GB-CHC-231192,The English Province of the Order of Preachers,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039066,GB-CHC-1139609,Association of Charity Independent Examiners,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039088,GB-CHC-232822,Royal National Mission to Deep Sea Fishermen,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039092,GB-CHC-1169337,Theatre Versus Oppression,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039100,GB-CHC-1090734,Urban Expression,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039107,GB-CHC-1064598,Mission Aviation Fellowship UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039117,GB-CHC-313757,Voluntary Service Overseas,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039129,GB-CHC-285575,The Association for Real Change,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039136,GB-CHC-215199,The British Diabetic Association,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039137,GB-CHC-1073238,The Brainwave Centre Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039140,GB-CHC-251233,Wycliffe UK Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039150,GB-CHC-1105851,Christian Aid,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039153,GB-CHC-288158,The Union of the Sisters of Mercy of Great Britain,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039155,GB-CHC-236803,The Daughters of Charity of St Vincent De Paul,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039165,GB-CHC-234184,The Congregation of the Daughters of Wisdom,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039167,GB-CHC-1078673,Zambesi Mission,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039167,GB-CHC-1165004,Zambesi Mission,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039168,GB-CHC-206862,The Soil Association Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039169,GB-CHC-284912,Contact a Family,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039170,GB-CHC-1045617,Afasic,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039171,GB-CHC-291222,Volunteering Matters,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039172,GB-CHC-1108837,Home-Start UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039173,GB-CHC-312894,Goodenough College,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039177,GB-CHC-268502,Dyslexia Institute Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039181,GB-CHC-1060078,United Jewish Israel Appeal,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039185,GB-CHC-231323,Religious Sisters of Charity,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039189,GB-CHC-1146420,Abf the Soldiers' Charity,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039191,GB-CHC-232177,The Order of Friars Minor,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039193,GB-CHC-216652,The British Trust for Ornithology,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039197,GB-CHC-1115606,Global Alliance for Livestock Veterinary Medicines,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039200,GB-CHC-313219,The Certified Accountants Educational Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039205,GB-CHC-243312,The Landmark Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039207,GB-CHC-259483,The Leukaemia Care Society,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039209,GB-CHC-236586,Netherhall Educational Association,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039220,GB-CHC-1004774,The Christian Institute,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039224,GB-CHC-221605,The Gideons International in the British Isles,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039230,GB-CHC-1101332,UK Biobank Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039236,GB-CHC-212479,British Association for the Advancement of Science,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039237,GB-CHC-1113067,Attend,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039239,GB-CHC-1112775,Workers' Educational Association,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039240,GB-CHC-1089743,The National Association of Decorative and Fine Arts Societies,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039244,GB-CHC-1113753,The Society for the Protection of Ancient Buildings,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039245,GB-CHC-252892,Kidney Research UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039247,GB-CHC-326691,Wooden Spoon Society,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039248,GB-CHC-1074832,Street Child Africa,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039250,GB-CHC-264017,Microbiology Society,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039251,GB-CHC-1001349,Samaritan's Purse International Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039255,GB-CHC-1095897,National Grocers Benevolent Fund,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039256,GB-CHC-1070003,Railway Paths Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039257,GB-CHC-1094231,The British Allergy Foundation,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039261,GB-CHC-1115234,Cvqo Ltd,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039263,GB-CHC-326550,Sustrans Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039267,GB-CHC-1062307,The Move Partnership,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039268,GB-CHC-254937,Butterfly Conservation,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039269,GB-CHC-1048454,Maritime Volunteer Service,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039277,GB-CHC-1074930,The Coalfields Regeneration Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039280,GB-CHC-1060508,Tommy's,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039284,GB-CHC-208701,Action Medical Research,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039289,GB-CHC-207823,The Royal Society for the Prevention of Accidents,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039294,GB-CHC-233779,Salesians of Don Bosco UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039297,GB-CHC-263446,British Youth for Christ,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039299,GB-CHC-1114195,Genetic Alliance UK Ltd,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039302,GB-CHC-261009,The Conservation Volunteers,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039304,GB-CHC-803438,British Divers Marine Life Rescue,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039307,GB-CHC-246329,Carers UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039309,GB-CHC-801343,Eating Disorders Association,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039313,GB-CHC-1144923,The Crusaders' Union,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039316,GB-CHC-226227,The Royal National Institute of Blind People,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039320,GB-CHC-1092193,Bre Trust,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039322,GB-CHC-802364,Asthma UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039332,GB-CHC-1005541,Prostate Cancer UK,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039335,GB-CHC-1061685,Lawcare Limited,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039336,GB-CHC-1108380,Institute of Conservation,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039337,GB-CHC-275689,British Association for Adoption and Fostering,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039338,GB-CHC-280852,The Fostering Network,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039339,GB-CHC-294841,Child Poverty Action Group,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039343,GB-CHC-219946,Ufm Worldwide,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039352,GB-CHC-232098,Charitable Trusts of the Congregation of Franciscan Missionaries of the Divine Motherhood,sameas,Charity Registered in Scotland and England & Wales
GB-SC-SC039359,GB-CHC-252041,Roman Catholic Purposes in Connection with the Congregation of the Most Holy Redeemer,sameas,Charity Registered in Scotland and England & Wales
